Sum of Salary,Column Labels,,,,,,,
Row Labels,Catcher,First Baseman,Outfielder,Pitcher,Second Baseman,Shortstop,Third Baseman,Grand Total
Anaheim Angels,2082500,5250000,23725000,37304167,2270000,1150000,7250000,79031667
Baltimore Orioles,3830000,8375000,22975000,29142500,,2850000,6705000,73877500
Boston Red Sox,5505000,3250000,33500000,40109000,3450000,11625000,2507500,99946500
Chicago White Sox,1325000,11700000,18970000,17680000,675000,345000,315000,51010000
Cleveland Indians,702100,605200,15730967,20859600,325000,10031967,330000,48584834
Detroit Tigers,715000,310000,19265000,13296000,307000,2450000,12825000,49168000
Kansas City Royals,3375000,11300000,12663500,6402500,775000,1502000,4500000,40518000
Minnesota Twins,1127500,1750000,8442500,36420000,1340000,3025000,3400000,55505000
New York Yankees,8750000,11792671,34257143,74350000,800000,16300000,6500000,152749814
Oakland Athletics,4137500,1065000,15691667,19602667,334500,5432500,3997000,50260834
Seattle Mariners,5000000,13050000,15683334,32550833,11450000,2500000,6725000,86959167
Tampa Bay Devil Rays,600000,500000,6400000,3825000,1200000,6500000,625000,19650000
Texas Rangers,3337500,9000000,31077500,34569167,300000,22415000,2792500,103491667
Toronto Blue Jays ,1729000,19020000,8920000,18212000,313000,2475000,600000,51269000
Grand Total,42216100,96967871,267301611,384323434,23539500,88601467,59072000,962021983
